epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,707.895,1.43718,1.68592,1.42208,1.43318,0,0.61828,0.57434,0.63401,0.37027,0.59878,0.55623,0.58621,0.18821,1.36319,1.6312,1.37973,1.40736,0,0.000332991,0.000332991,0.0670339
2,1401.58,1.38613,1.62563,1.33221,1.38891,0,0.61908,0.60679,0.64072,0.37889,0.6085,0.57949,0.59482,0.18564,1.31253,1.60976,1.29673,1.37681,0,0.000666314,0.000666314,0.0340339
3,2093.87,1.36256,1.61519,1.29143,1.36339,0,0.63523,0.59408,0.64219,0.38052,0.62657,0.56453,0.60114,0.19236,1.32565,1.57376,1.31133,1.3774,0,0.000999597,0.000999597,0.00103382
4,2785.18,1.3668,1.60271,1.27501,1.37456,0,0.64429,0.6,0.64962,0.38343,0.63911,0.57962,0.61283,0.19311,1.34724,1.56932,1.2963,1.38352,0,0.000999863,0.000999863,0.000999863
5,3476.14,1.37227,1.60394,1.29816,1.36722,0,0.62832,0.57887,0.63796,0.37625,0.64415,0.54642,0.59632,0.1885,1.35214,1.58261,1.30179,1.38196,0,0.000999756,0.000999756,0.000999756
6,4167.84,1.37641,1.61077,1.29526,1.3757,0,0.63982,0.57783,0.64345,0.37947,0.63536,0.55627,0.60346,0.18806,1.35842,1.59538,1.29984,1.39747,0,0.000999618,0.000999618,0.000999618
7,4857.75,1.36072,1.58847,1.26471,1.364,0,0.63617,0.59245,0.65273,0.38904,0.65052,0.57585,0.61825,0.20037,1.35488,1.56629,1.29821,1.38915,0,0.00099945,0.00099945,0.00099945
8,5549.22,1.33153,1.58703,1.27503,1.35015,0,0.6355,0.59871,0.64313,0.38611,0.63353,0.56075,0.60708,0.19257,1.34455,1.59146,1.27804,1.39605,0,0.000999252,0.000999252,0.000999252
9,6239.87,1.34126,1.58959,1.26871,1.37621,0,0.61482,0.59925,0.64598,0.38395,0.62333,0.56202,0.60944,0.19494,1.34486,1.59961,1.34069,1.37632,0,0.000999023,0.000999023,0.000999023
10,6929.99,1.33955,1.58492,1.27508,1.36778,0,0.62346,0.61434,0.65143,0.38744,0.62521,0.59547,0.61928,0.19923,1.33664,1.55236,1.29077,1.3856,0,0.000998764,0.000998764,0.000998764
11,7620.66,1.34759,1.5866,1.2915,1.36686,0,0.61106,0.57982,0.61983,0.36761,0.60594,0.55698,0.59068,0.19319,1.37347,1.60212,1.46506,1.42145,0,0.000998474,0.000998474,0.000998474
12,8310.98,1.34233,1.58964,1.28008,1.36267,0,0.65515,0.58189,0.64352,0.39072,0.63466,0.56302,0.6008,0.19272,1.36063,1.58663,1.2907,1.39458,0,0.000998154,0.000998154,0.000998154
13,9002.25,1.33654,1.56585,1.2734,1.35056,0,0.64352,0.61446,0.6624,0.39341,0.64569,0.57736,0.62421,0.20308,1.33293,1.5535,1.24812,1.37601,0,0.000997803,0.000997803,0.000997803
14,9692.97,1.33679,1.58684,1.2414,1.35247,0,0.64422,0.58943,0.63642,0.37645,0.6294,0.56377,0.59682,0.18955,1.35189,1.62097,1.31017,1.38508,0,0.000997422,0.000997422,0.000997422
15,10383.1,1.33483,1.57314,1.25073,1.35184,0,0.6448,0.55774,0.60956,0.3595,0.6486,0.54188,0.58821,0.19255,1.35676,1.57986,1.36419,1.40171,0,0.000997011,0.000997011,0.000997011
16,11074.1,1.32962,1.57852,1.26593,1.35507,0,0.67,0.57921,0.64794,0.38817,0.66476,0.56302,0.6126,0.19439,1.34653,1.58802,1.30405,1.39085,0,0.000996569,0.000996569,0.000996569
17,11764.8,1.33369,1.57614,1.23307,1.34723,0,0.59515,0.59469,0.63031,0.37206,0.58814,0.58738,0.59863,0.19283,1.36507,1.56144,1.31832,1.40124,0,0.000996097,0.000996097,0.000996097
18,12455.1,1.32716,1.5774,1.2599,1.35246,0,0.62827,0.59058,0.62706,0.37748,0.64688,0.54792,0.59081,0.19247,1.32925,1.56247,1.285,1.38574,0,0.000995594,0.000995594,0.000995594
