epoch 001 | train 0.4562 | val 0.3250 | val IoU 0.6108 | 1.9 min
epoch 002 | train 0.2748 | val 0.2531 | val IoU 0.6335 | 3.0 min
epoch 003 | train 0.2625 | val 0.2900 | val IoU 0.6320 | 3.6 min
epoch 004 | train 0.2618 | val 0.2523 | val IoU 0.6339 | 4.2 min
epoch 005 | train 0.2579 | val 0.3054 | val IoU 0.4804 | 4.8 min
epoch 006 | train 0.2549 | val 0.2799 | val IoU 0.6267 | 5.4 min
epoch 007 | train 0.2516 | val 0.2499 | val IoU 0.6360 | 6.0 min
epoch 008 | train 0.2502 | val 0.2557 | val IoU 0.6350 | 6.6 min
epoch 009 | train 0.2519 | val 0.3101 | val IoU 0.5234 | 7.2 min
epoch 010 | train 0.2491 | val 0.2671 | val IoU 0.6278 | 7.8 min
epoch 011 | train 0.2493 | val 0.2517 | val IoU 0.6284 | 8.4 min
epoch 012 | train 0.2452 | val 0.2458 | val IoU 0.6353 | 9.1 min
epoch 013 | train 0.2439 | val 0.2416 | val IoU 0.6250 | 9.7 min
epoch 014 | train 0.2433 | val 0.2482 | val IoU 0.6356 | 10.3 min
epoch 015 | train 0.2416 | val 0.2420 | val IoU 0.6352 | 10.9 min
epoch 016 | train 0.2395 | val 0.2428 | val IoU 0.6185 | 11.5 min
epoch 017 | train 0.2391 | val 0.2753 | val IoU 0.5733 | 12.1 min
epoch 018 | train 0.2393 | val 0.2370 | val IoU 0.6315 | 12.7 min
epoch 019 | train 0.2394 | val 0.2394 | val IoU 0.6307 | 13.3 min
epoch 020 | train 0.2370 | val 0.4652 | val IoU 0.4517 | 14.0 min
epoch 021 | train 0.2371 | val 0.2423 | val IoU 0.6208 | 14.6 min
epoch 022 | train 0.2359 | val 0.2344 | val IoU 0.6225 | 15.2 min
epoch 023 | train 0.2351 | val 0.3068 | val IoU 0.5458 | 15.7 min
epoch 024 | train 0.2353 | val 0.2347 | val IoU 0.6321 | 16.3 min
epoch 025 | train 0.2353 | val 0.2361 | val IoU 0.6142 | 16.9 min
epoch 026 | train 0.2331 | val 0.2385 | val IoU 0.6175 | 17.5 min
epoch 027 | train 0.2329 | val 0.2416 | val IoU 0.6274 | 18.1 min
epoch 028 | train 0.2322 | val 0.2332 | val IoU 0.6340 | 18.8 min
epoch 029 | train 0.2315 | val 0.3600 | val IoU 0.5289 | 19.4 min
epoch 030 | train 0.2319 | val 0.3799 | val IoU 0.4461 | 20.0 min
epoch 031 | train 0.2322 | val 0.2403 | val IoU 0.6015 | 20.6 min
epoch 032 | train 0.2310 | val 0.2333 | val IoU 0.6333 | 21.2 min
epoch 033 | train 0.2300 | val 0.2312 | val IoU 0.6301 | 21.7 min
epoch 034 | train 0.2294 | val 0.2333 | val IoU 0.6244 | 22.4 min
